address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y,station
서울 중구 만리동1가 53-8,FD6,음식점,음식점 > 일식 > 일본식라면,556,469577034,070-4177-0365,유즈라멘 서울역본점,http://place.map.kakao.com/469577034,서울 중구 만리재로 217,126.96823844833658,37.556815391728634,서울
서울 중구 남창동 60-2,FD6,음식점,음식점 > 분식,705,11486129,02-755-2569,가메골손왕만두 남대문본점,http://place.map.kakao.com/11486129,서울 중구 남대문시장4길 42,126.97711545793453,37.55835454736746,서울
서울 용산구 후암동 446,FD6,음식점,음식점 > 일식 > 일본식라면,395,1255299690,0507-1420-9787,이이네,http://place.map.kakao.com/1255299690,서울 용산구 소월로2길 13,126.97673755104057,37.55437026262591,서울
서울 중구 남대문로5가 120,FD6,음식점,음식점 > 한식 > 냉면,645,1644608542,0503-7150-8217,서령,http://place.map.kakao.com/1644608542,서울 중구 소월로 10,126.97549698076399,37.55846234223722,서울
서울 용산구 동자동 35-44,FD6,음식점,"음식점 > 한식 > 해물,생선 > 장어",192,16039548,02-777-4380,일미장어,http://place.map.kakao.com/16039548,서울 용산구 후암로57길 35-15,126.97431417197112,37.552157810329795,서울
서울 용산구 동자동 9-4,FD6,음식점,음식점 > 중식 > 중국요리,186,15620998,02-777-5558,태향,http://place.map.kakao.com/15620998,서울 용산구 후암로57길 3-10,126.974645414975,37.5531624947533,서울
서울 용산구 동자동 42-9,FD6,음식점,"음식점 > 한식 > 육류,고기 > 오리",356,986888165,02-6080-6852,돈오리,http://place.map.kakao.com/986888165,서울 용산구 한강대로102길 3,126.972365098288,37.549943617455,서울
서울 중구 만리동1가 62-11,FD6,음식점,음식점 > 양식,496,1646052453,02-393-1824,만리재비스트로,http://place.map.kakao.com/1646052453,서울 중구 만리재로 201,126.967831535859,37.5556079449278,서울
서울 중구 남창동 203-15,FD6,음식점,"음식점 > 일식 > 돈까스,우동",699,27244728,02-777-1976,23번지 남산돈까스 본점,http://place.map.kakao.com/27244728,서울 중구 소파로 23,126.97953468368163,37.55609799309515,서울
서울 용산구 동자동 43-13,FD6,음식점,음식점 > 아시아음식 > 동남아음식 > 베트남음식,166,709029480,02-711-4748,노이덴,http://place.map.kakao.com/709029480,서울 용산구 한강대로 373,126.972055502162,37.5516995903275,서울
서울 중구 봉래동2가 122-11,FD6,음식점,음식점 > 샤브샤브,286,250218400,02-362-9799,일상정원 서울역점,http://place.map.kakao.com/250218400,서울 중구 한강대로 405,126.97095746653784,37.55541233771503,서울
서울 용산구 후암동 439-19,FD6,음식점,음식점 > 퓨전요리 > 퓨전한식,379,27270808,02-772-9463,도동집,http://place.map.kakao.com/27270808,서울 용산구 후암로48길 1,126.9768047948429,37.55284578740163,서울
서울 용산구 동자동 23-29,FD6,음식점,음식점 > 한식 > 국수 > 칼국수,365,9963594,02-754-1123,충무칼국수,http://place.map.kakao.com/9963594,서울 용산구 한강대로104길 38,126.974374820294,37.550203558256,서울
서울 중구 남대문로5가 541,FD6,음식점,음식점 > 중식,290,13499824,02-6456-8911,루싱,http://place.map.kakao.com/13499824,서울 중구 한강대로 416,126.973784479223,37.5555733768187,서울
서울 중구 중림동 61-4,FD6,음식점,"음식점 > 한식 > 육류,고기 > 닭요리",738,27276847,02-392-0695,호수집 원조닭꼬치,http://place.map.kakao.com/27276847,서울 중구 청파로 443,126.968681156219,37.5590607950843,서울
서울 중구 서소문동 120-35,FD6,음식점,음식점 > 한식 > 국수,145,11152625,02-753-5388,진주회관,http://place.map.kakao.com/11152625,서울 중구 세종대로11길 26,126.97453133779806,37.562478781861735,시청
서울 중구 북창동 19-4,FD6,음식점,음식점 > 한식 > 순대,189,1062153333,02-755-5232,농민백암순대 시청직영점,http://place.map.kakao.com/1062153333,서울 중구 남대문로1길 33,126.97715943361476,37.56259825108099,시청
서울 중구 다동 173,FD6,음식점,음식점 > 한식 > 해장국,604,11064200,02-777-3891,무교동북어국집,http://place.map.kakao.com/11064200,서울 중구 을지로1길 38,126.9798518336699,37.56773441926809,시청
서울 중구 북창동 93-36,FD6,음식점,음식점 > 한식 > 곰탕,336,15892869,02-352-0303,애성회관,http://place.map.kakao.com/15892869,서울 중구 남대문로5길 23,126.97891384153051,37.562409368174585,시청
서울 중구 정동 1-48,FD6,음식점,음식점 > 한식 > 국밥,596,2067124772,02-738-5688,광화문국밥 본점,http://place.map.kakao.com/2067124772,서울 중구 세종대로21길 53,126.975391668232,37.5689589279236,시청
서울 중구 태평로2가 318-1,FD6,음식점,"음식점 > 한식 > 육류,고기 > 족발,보쌈 > 만족오향족발",65,21324404,02-753-4755,만족오향족발 시청점,http://place.map.kakao.com/21324404,서울 중구 서소문로 134-7,126.976013798412,37.5632575533142,시청
서울 중구 북창동 18-7,FD6,음식점,"음식점 > 한식 > 육류,고기 > 닭요리",210,13288545,02-755-5278,풍년닭도리탕,http://place.map.kakao.com/13288545,서울 중구 세종대로14길 17-5,126.97770710108,37.5630812898836,시청
서울 중구 소공동 81,FD6,음식점,음식점 > 샤브샤브,407,617004084,0507-1364-7705,천향원,http://place.map.kakao.com/617004084,서울 중구 남대문로7길 33,126.98001134894027,37.56381781654404,시청
서울 중구 북창동 93-35,FD6,음식점,음식점 > 한식 > 한정식,333,13057594,02-318-3088,한가람 본점,http://place.map.kakao.com/13057594,서울 중구 남대문로5길 25,126.978929657332,37.5625156885918,시청
서울 중구 충무로1가 25-9,FD6,음식점,음식점 > 중식 > 중국요리,662,12793877,02-779-4800,란주칼면,http://place.map.kakao.com/12793877,서울 중구 소공로 64,126.982148978718,37.5609773169211,시청
서울 중구 남대문로3가 96,FD6,음식점,음식점 > 한식 > 곰탕,387,20534938,02-753-7898,금성관,http://place.map.kakao.com/20534938,서울 중구 남대문로 29,126.97885526219387,37.56143177633828,시청
서울 중구 남창동 34-34,FD6,음식점,"음식점 > 한식 > 해물,생선",436,8670706,02-755-3449,희락갈치,http://place.map.kakao.com/8670706,서울 중구 남대문시장길 22-6,126.97710366926631,37.55989344806759,시청
서울 중구 남대문로3가 95-1,FD6,음식점,"음식점 > 한식 > 육류,고기",383,207440691,02-3789-9288,양미옥 남대문점,http://place.map.kakao.com/207440691,서울 중구 남대문로 27-2,126.97877943305056,37.56142095077293,시청
